Codigo_Accidente,Formulario,Direccion,Fecha_Acc,Dia_Semana_Acc,Hora_Acc,Min_Acc,Localidad,Clase_Acc,Elemento_Choque,Tipo_Objeto_Fijo,Gravedad_Indicador_Tradicional,Gravedad_indicador_30d,
10591851,A001571139,AV AVENIDA CIUDAD DE VILLAVICENCIO - CL 57 B S 02,2023-05-26,Viernes,20,43,BOSA,Choque,Vehículo,Desconocido,Con Heridos,Con Heridos,
10591854,A001571298,KR 44 D - DG 69 K S 02,2023-05-31,Miércoles,9,40,CIUDAD BOLIVAR,Atropello,Desconocido,Desconocido,Con Heridos,Con Heridos,
10592149,A001570489,CL 26 - KR 25  02,2023-06-08,Jueves,20,0,TEUSAQUILLO,Volcamiento,Desconocido,Desconocido,Con Heridos,Con Heridos,
10592358,A001572190,CL 6 - KR 5  02,2023-06-14,Miércoles,6,41,CANDELARIA,Choque,Vehículo,Desconocido,Con Heridos,Con Heridos,
10592361,A001570128,CL 187 A - KR 8 C 02,2023-06-14,Miércoles,20,15,USAQUEN,Choque,Vehículo,Desconocido,Con Heridos,Con Heridos,
10592370,A001571474,CL 139 - KR 110  02,2023-06-13,Martes,10,35,SUBA,Atropello,Desconocido,Desconocido,Con Heridos,Con Heridos,
10592372,A001571556,KR 13 B E- CL 41 B S 02,2023-06-14,Miércoles,18,20,SAN CRISTOBAL,Atropello,Desconocido,Desconocido,Con Heridos,Con Heridos,
10592378,A001571285,KR 15 - CL 32 BIS S 02,2023-06-14,Miércoles,5,48,RAFAEL URIBE URIBE,Choque,Objeto Fijo,Vehiculo estacionado,Con Heridos,Con Heridos,
10592379,A001571358,CL 49 S- KR 77 V 02,2023-06-13,Martes,12,35,KENNEDY,Choque,Vehículo,Desconocido,Con Heridos,Con Heridos,
10592766,A001571754,KR 74 - DG 40 C S 02,2023-06-23,Viernes,8,26,KENNEDY,Choque,Vehículo,Desconocido,Con Heridos,Con Heridos,
10592767,A001572508,KR 69 B - CL 24 S 02,2023-06-23,Viernes,21,40,KENNEDY,Choque,Vehículo,Desconocido,Con Heridos,Con Heridos,
10592768,A001571462,KR 86 A - CL 58 C 02,2023-06-22,Jueves,17,20,BOSA,Choque,Vehículo,Desconocido,Con Heridos,Con Heridos,
10592778,A001571759,AK 33 - CL 41 A S 02,2023-06-27,Martes,8,44,RAFAEL URIBE URIBE,Atropello,Desconocido,Desconocido,Con Muertos,Con Muertos,
10592781,A001571853,AV AVENIDA BOYACA - KR 33  02,2023-06-23,Viernes,20,50,TUNJUELITO,Atropello,Desconocido,Desconocido,Con Heridos,Con Heridos,
10593270,A001572855,KR 86 - CL 42 S 02,2023-07-05,Miércoles,12,12,KENNEDY,Choque,Vehículo,Desconocido,Con Heridos,Con Heridos,
10593385,A001571689,AU NORTE - CL 151  02,2023-07-10,Lunes,19,0,USAQUEN,Choque,Vehículo,Desconocido,Con Heridos,Con Heridos,
10593386,A001573006,KR 96 - CL 40 S 02,2023-07-09,Domingo,17,21,KENNEDY,Atropello,Desconocido,Desconocido,Con Heridos,Con Heridos,
10593398,A001572931,CL 153 - KR 104  02,2023-07-10,Lunes,12,38,SUBA,Choque,Vehículo,Desconocido,Con Heridos,Con Heridos,
10593417,A001573177,CL 43 S- KR 86  02,2023-07-11,Martes,18,35,KENNEDY,Choque,Vehículo,Desconocido,Con Heridos,Con Heridos,
